Area,Total
"Adams", 441603
"Alamosa", 15445
"Arapahoe", 572003
"Archuleta", 12084
"Baca", 3788
"Bent", 6499
"Boulder", 294567
"Broomfield", 55889
"Chaffee", 17809
"Cheyenne", 1836
"Clear Creek", 9088
"Conejos", 8256
"Costilla", 3524
"Crowley", 5823
"Custer", 4255
"Delta", 30952
"Denver", 600158
"Dolores", 2064
"Douglas", 285465
"Eagle", 52197
"El Paso", 622263
"Elbert", 23086
"Fremont", 46824
"Garfield", 56389
"Gilpin", 5441
"Grand", 14843
"Gunnison", 15324
"Hinsdale", 843 
"Huerfano", 6711
"Jackson", 1394
"Jefferson", 534543
"Kiowa", 1398
"Kit Carson", 8270
"La Plata", 51334
"Lake", 7310
"Larimer", 299630
"Las Animas", 15507
"Lincoln", 5467
"Logan", 22709
"Mesa", 146723
"Mineral", 712 
"Moffat", 13795
"Montezuma", 25535
"Montrose", 41276
"Morgan", 28159
"Otero", 18831
"Ouray", 4436
"Park", 16206
"Phillips", 4442
"Pitkin", 17148
"Prowers", 12551
"Pueblo", 159063
"Rio Blanco", 6666
"Rio Grande", 11982
"Routt", 23509
"Saguache", 6108
"San Juan", 699 
"San Miguel", 7359
"Sedgwick", 2379
"Summit", 27994
"Teller", 23350
"Washington", 4814
"Weld", 252825
"Yuma", 10043
